stop1_name,stop2_name,Hour,MedianRunTime,CompromiseRunTime,MinMedianTime,Route1Stop,AdjustedHour,Direction,Sort
Dudley Square Station,Washington St opp Ruggles St,10,49,40,31,Dudley-Ruggles,10:00 AM,Northbound,0
Washington St opp Ruggles St,Washington St @ Melnea Cass Blvd,10,43,36,29,Ruggles-MelneaCass,10:00 AM,Northbound,1
Washington St @ Melnea Cass Blvd,Melnea Cass Blvd @ Harrison Ave,10,40,29.5,19,MelneaCass-Harrison,10:00 AM,Northbound,2
Melnea Cass Blvd @ Harrison Ave,Albany St opp Randall St,10,73,58,43,Harrison-Randall,10:00 AM,Northbound,3
Albany St opp Randall St,Mass. Ave @ Albany St,10,82,71.5,61,Randall-Albany,10:00 AM,Northbound,4
Mass. Ave @ Albany St,Mass. Ave @ Harrison Ave,10,49,36,23,Albany-Harrison,10:00 AM,Northbound,5
Mass. Ave @ Harrison Ave,Mass. Ave @ Washington St,10,127,91,55,Harrison-Washington,10:00 AM,Northbound,6
Mass. Ave @ Washington St,Mass. Ave @ Tremont St,10,107.5,87.75,68,Washington-Tremont,10:00 AM,Northbound,7
Mass. Ave @ Tremont St,Mass. Ave @ Columbus Ave,10,41.5,31.75,22,Tremont-Columbus,10:00 AM,Northbound,8
Mass. Ave @ Columbus Ave,Mass. Ave @ Mass. Ave Station,10,45,37,29,Columbus-MassAveStation,10:00 AM,Northbound,9
Mass. Ave @ Mass. Ave Station,Mass. Ave @ St Botolph St,10,52,33.5,15,MassAveStation-StBotolph,10:00 AM,Northbound,10
Mass. Ave @ St Botolph St,Mass. Ave @ Clearway St,10,86,66.5,47,StBotolph-Clearway,10:00 AM,Northbound,11
Mass. Ave @ Clearway St,Mass. Ave @ Newbury St,10,91,72.5,54,Clearway-Newbury,10:00 AM,Northbound,12
Mass. Ave @ Newbury St,Mass. Ave @ Beacon St,10,107,92,77,Newbury-Beacon,10:00 AM,Northbound,13
Mass. Ave @ Beacon St,77 Mass. Ave,10,158,135,112,Beacon-MassAve,10:00 AM,Northbound,14
77 Mass. Ave,Mass. Ave @ Albany St,10,80.5,61.75,43,MassAve-Albany,10:00 AM,Northbound,15
Mass. Ave @ Albany St,Mass. Ave @ Sidney St,10,96,84.5,73,Albany-Sidney,10:00 AM,Northbound,16
Mass. Ave @ Sidney St,Mass. Ave @ Prospect St,10,134,101.5,69,Sidney-Prospect,10:00 AM,Northbound,17
Mass. Ave @ Prospect St,Mass. Ave @ Bigelow St,10,75,55.5,36,Prospect-Bigelow,10:00 AM,Northbound,18
Mass. Ave @ Bigelow St,Mass. Ave @ Hancock St,10,43,36.5,30,Bigelow-Hancock,10:00 AM,Northbound,19
Mass. Ave @ Hancock St,Mass. Ave @ Dana St,10,32,27.25,22.5,Hancock-Dana,10:00 AM,Northbound,20
Mass. Ave @ Dana St,Mass. Ave @ Trowbridge St,10,49,37,25,Dana-Trowbridge,10:00 AM,Northbound,21
Mass. Ave @ Trowbridge St,Mass. Ave @ Bow St,10,44,37,30,Trowbridge-Bow,10:00 AM,Northbound,22
Mass. Ave @ Bow St,Mass. Ave @ Holyoke St,10,43.5,35.75,28,Bow-Holyoke,10:00 AM,Northbound,23
Mass. Ave @ Holyoke St,,10,,,,,10:00 AM,Northbound,24
Dudley Square Station,Washington St opp Ruggles St,11,50,40.5,31,Dudley-Ruggles,11:00 AM,Northbound,0
Washington St opp Ruggles St,Washington St @ Melnea Cass Blvd,11,47,38,29,Ruggles-MelneaCass,11:00 AM,Northbound,1
Washington St @ Melnea Cass Blvd,Melnea Cass Blvd @ Harrison Ave,11,46,32.5,19,MelneaCass-Harrison,11:00 AM,Northbound,2
Melnea Cass Blvd @ Harrison Ave,Albany St opp Randall St,11,71.5,57.25,43,Harrison-Randall,11:00 AM,Northbound,3
Albany St opp Randall St,Mass. Ave @ Albany St,11,82.5,71.75,61,Randall-Albany,11:00 AM,Northbound,4
Mass. Ave @ Albany St,Mass. Ave @ Harrison Ave,11,42,32.5,23,Albany-Harrison,11:00 AM,Northbound,5
Mass. Ave @ Harrison Ave,Mass. Ave @ Washington St,11,125.5,90.25,55,Harrison-Washington,11:00 AM,Northbound,6
Mass. Ave @ Washington St,Mass. Ave @ Tremont St,11,106,87,68,Washington-Tremont,11:00 AM,Northbound,7
Mass. Ave @ Tremont St,Mass. Ave @ Columbus Ave,11,44,33,22,Tremont-Columbus,11:00 AM,Northbound,8
Mass. Ave @ Columbus Ave,Mass. Ave @ Mass. Ave Station,11,38,33.5,29,Columbus-MassAveStation,11:00 AM,Northbound,9
Mass. Ave @ Mass. Ave Station,Mass. Ave @ St Botolph St,11,54,34.5,15,MassAveStation-StBotolph,11:00 AM,Northbound,10
Mass. Ave @ St Botolph St,Mass. Ave @ Clearway St,11,88,67.5,47,StBotolph-Clearway,11:00 AM,Northbound,11
Mass. Ave @ Clearway St,Mass. Ave @ Newbury St,11,94,74,54,Clearway-Newbury,11:00 AM,Northbound,12
Mass. Ave @ Newbury St,Mass. Ave @ Beacon St,11,107,92,77,Newbury-Beacon,11:00 AM,Northbound,13
Mass. Ave @ Beacon St,77 Mass. Ave,11,153.5,132.75,112,Beacon-MassAve,11:00 AM,Northbound,14
77 Mass. Ave,Mass. Ave @ Albany St,11,84,63.5,43,MassAve-Albany,11:00 AM,Northbound,15
